incremental_costs,incremental_qalys,icer_per_qaly,net_monetary_benefit
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
9209492.033527976,237.99461398419498,38696.22038648139,-8257513.577591196
